Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Close_Lag1,Close_Lag7,MA_7,MA_30,Volatility_7,Price_Change,Return,DayOfWeek,Month,Price_Change_Direction
12/20/2018,3660.01,4120,3635,0.010340544,0.133143433,00:00.0,399967057.8,500506,52772.93317,207803692,0,0.005559631,0.001114888,0.002318865,0.003236908,0.064887677,0.508014842,0.84827733,0.5,1,1
12/21/2018,4051.86,4139.99,3764,0.007737082,0.107893728,00:00.0,325803280,436187,41365.889,163730611.8,0,0.010340544,0.000153646,0.003403634,0.002897262,0.06364987,0.46708141,0.580875619,0.666666667,1,0
12/22/2018,3840.25,3979,3785,0.00909768,0.05591941,00:00.0,165085567.6,249148,22602.32408,87158242.39,0,0.007737082,0,0.004705007,0.002723356,0.057916808,0.489055184,0.717754661,0.833333333,1,1
12/23/2018,3948.91,4021.53,3870,0.008860732,0.05236233,00:00.0,158756356.8,258417,20216.88072,80034022.88,0,0.00909768,0.00020918,0.005942564,0.00252062,0.040529304,0.480199591,0.660873733,1,1,0
12/24/2018,3929.71,4198,3924.83,0.009827034,0.084621846,00:00.0,264628967.1,400403,33124.5087,135645529.9,0,0.008860732,0.003669727,0.006823332,0.002551829,0.033128786,0.486869505,0.702856832,0,1,1
12/25/2018,4010.11,4020,3646.41,0.006590971,0.082094008,00:00.0,235584303,356377,31541.97627,118404280.5,0,0.009827034,0.0054456,0.006987171,0.002411417,0.029334164,0.463574745,0.558297724,0.166666667,1,0
12/26/2018,3745.56,3837.15,3656.74,0.006985266,0.05566563,00:00.0,159705204.5,267746,22292.21985,83539027.83,0,0.006590971,0.005559631,0.007191101,0.002376536,0.02397879,0.483698731,0.683555734,0.333333333,1,1
12/27/2018,3777.74,3813.98,3535,0.004395749,0.057596205,00:00.0,161915849.9,262733,22249.47382,81803859.06,0,0.006985266,0.010340544,0.00634073,0.002249625,0.031109913,0.467158712,0.575032197,0.5,1,0
12/28/2018,3567.89,3887.25,3540.04,0.007744486,0.060051362,00:00.0,170638519.2,251040,24449.92465,90747704.9,0,0.004395749,0.007737082,0.00634179,0.002073861,0.031111019,0.500075934,0.797922643,0.666666667,1,1
12/29/2018,3839,3892,3670,0.005968119,0.050727466,00:00.0,148205200.1,244844,19522.19305,74500753.18,0,0.007744486,0.00909768,0.005894123,0.001825853,0.030567147,0.471666206,0.60560789,0.833333333,1,0
12/30/2018,3696.71,3903.5,3657.9,0.007283549,0.043294573,00:00.0,124966229.5,218929,17427.34229,65587964.9,0,0.005968119,0.008860732,0.005668516,0.001726979,0.028050506,0.488804806,0.717964063,1,1,1
12/31/2018,3803.12,3810,3630.33,0.006061664,0.039046056,00:00.0,111847216.1,190308,15523.79613,57912258.76,0,0.007283549,0.009827034,0.005129901,0.001525804,0.018553504,0.474739839,0.625000226,0,1,0
1/1/2019,3701.23,3810.16,3642,0.007224682,0.030826625,00:00.0,88149249.09,154227,12919.1559,47973435.87,0,0.006061664,0.006590971,0.00522055,0.00137553,0.019235231,0.48795995,0.712215057,0.166666667,0,1
1/2/2019,3796.45,3882.14,3750.45,0.007982668,0.04583808,00:00.0,133876627.2,218538,17921.60011,68277897.66,0,0.007224682,0.006985266,0.005363222,0.001365019,0.021305113,0.485714755,0.696505646,0.333333333,0,1
1/3/2019,3857.57,3862.74,3730,0.006850009,0.038276952,00:00.0,111657372.7,199812,14793.08327,56172495.43,0,0.007982668,0.004395749,0.005714291,0.001288674,0.013079127,0.475234439,0.628821466,0.5,0,0
1/4/2019,3767.2,3823.64,3703.57,0.007161373,0.038425039,00:00.0,111034550.6,192232,15579.30326,58616203.98,0,0.006850009,0.007744486,0.005630879,0.00129783,0.01202869,0.48323902,0.680453571,0.666666667,0,1
1/5/2019,3790.09,3840.99,3751,0.006901594,0.03970214,00:00.0,115893501.3,203673,14908.91418,56667455.39,0,0.007161373,0.005968119,0.005764408,0.00140612,0.009736502,0.480073034,0.659706672,0.833333333,0,0
1/6/2019,3771.12,4027.71,3740,0.009575154,0.047675712,00:00.0,142198812.2,240496,19772.88701,76903705.93,0,0.006901594,0.007283549,0.006092209,0.001647326,0.018834954,0.496333258,0.766413404,1,0,1
1/7/2019,3987.62,4017.9,3921.53,0.00942521,0.041515883,00:00.0,126830380.5,221219,16404.35224,65287611.65,0,0.009575154,0.006061664,0.006573346,0.001880466,0.019736645,0.480681877,0.663948132,0,0,0
1/8/2019,3976.76,4069.8,3903,0.009174441,0.050763038,00:00.0,154778846.5,242898,20047.9776,79781104.9,0,0.00942521,0.007224682,0.006852248,0.002049693,0.020587007,0.480122973,0.660451535,0.166666667,0,0
1/9/2019,3955.45,4006.81,3930.04,0.009316609,0.03772789,00:00.0,115218950.3,209240,14984.33702,59559010.75,0,0.009174441,0.007982668,0.007043061,0.002270134,0.021782595,0.482301127,0.674042168,0.333333333,0,1
1/10/2019,3966.06,3996.01,3540,0.004617518,0.077723437,00:00.0,221789348,374760,28288.32257,105616252.1,0,0.009316609,0.006850009,0.006723716,0.002354999,0.03149525,0.455464814,0.506522079,0.5,0,0
1/11/2019,3585.88,3658,3465,0.00480794,0.050022947,00:00.0,137560743.6,264996,19907.35059,71430015.65,0,0.004617518,0.007161373,0.00638707,0.002419553,0.03753226,0.482568608,0.676396999,0.666666667,0,1
1/12/2019,3601.31,3618.19,3530,0.00458358,0.028536056,00:00.0,78908770.68,175679,11645.59885,41778835.51,0,0.00480794,0.006901594,0.006055491,0.002535632,0.042414991,0.480269369,0.660558593,0.833333333,0,0
1/13/2019,3584.1,3611.1,3441.3,0.003271482,0.034303814,00:00.0,92882249.47,183113,13692.42064,48229503.02,0,0.00458358,0.009575154,0.005153785,0.002639969,0.04568836,0.474239767,0.618851603,1,0,0
1/14/2019,3477.56,3671.87,3467.02,0.00511375,0.04594164,00:00.0,125631820.1,229452,18416.4169,65668831.1,0,0.003271482,0.00942521,0.004537055,0.0028111,0.040377187,0.491725202,0.741831071,0,0,1
1/15/2019,3626.08,3648.42,3516.62,0.004212485,0.044498706,00:00.0,122785440.2,231684,17225.62243,61971796.91,0,0.00511375,0.009174441,0.003827274,0.002945069,0.03261442,0.476517115,0.63499671,0.166666667,0,0
1/16/2019,3553.06,3645,3543.51,0.00469107,0.035743078,00:00.0,98504455.21,205159,14183.69988,50843136.82,0,0.004212485,0.009316609,0.003165617,0.002979248,0.01000165,0.484165967,0.687595232,0.333333333,0,1
1/17/2019,3591.84,3634.7,3530.39,0.004991821,0.03873525,00:00.0,106709137,217797,16010.5034,57427195.94,0,0.00469107,0.004617518,0.003219159,0.002964063,0.010530758,0.483180188,0.680600579,0.5,0,1
1/18/2019,3613.32,3620,3565.75,0.004728463,0.029474396,00:00.0,81699723.54,177567,12611.08376,45362975.24,0,0.004991821,0.00480794,0.00320779,0.002936248,0.01044139,0.480053195,0.659113761,0.666666667,0,0
1/19/2019,3594.87,3720,3594.23,0.005597642,0.02876179,00:00.0,81354185.9,175054,11637.25817,42690540.31,0,0.004728463,0.00458358,0.003352846,0.002777528,0.012548344,0.486331123,0.702292262,0.833333333,0,1
1/20/2019,3665.75,3693.73,3475,0.004042426,0.036297729,00:00.0,99767239.95,204941,13875.11138,49633530.64,0,0.005597642,0.003271482,0.003463125,0.002653887,0.008968345,0.472892102,0.610874899,1,0,0
1/21/2019,3539.26,3559.51,3475.5,0.003889644,0.025438373,00:00.0,69316548.77,160825,10462.02028,36918177.64,0,0.004042426,0.00511375,0.003288023,0.002479602,0.010058385,0.480666143,0.663184356,0,0,0
1/22/2019,3526.88,3608.5,3434.85,0.004433019,0.038184231,00:00.0,103804480.1,195484,15661.333,55461347.69,0,0.003889644,0.004212485,0.00331957,0.00233143,0.009756891,0.484525116,0.690253581,0.166666667,0,1
1/23/2019,3570.41,3607.98,3514.5,0.004209523,0.032400992,00:00.0,88816396.35,192892,13136.69325,46789527.01,0,0.004433019,0.00469107,0.003250687,0.002143441,0.010078812,0.480274157,0.660519053,0.333333333,0,0
1/24/2019,3552.97,3589,3529.22,0.004416853,0.026992565,00:00.0,74037052.87,162159,10975.97457,39023591.88,0,0.004209523,0.004991821,0.003168441,0.002070685,0.0095543,0.482662329,0.677117939,0.5,0,1
1/25/2019,3569.07,3587.15,3522.51,0.004363416,0.022760731,00:00.0,62634926.46,153413,9690.398152,34473989.39,0,0.004416853,0.004728463,0.003116223,0.001982945,0.009375383,0.481216839,0.667054332,0.666666667,0,0
1/26/2019,3566.69,3662.94,3545,0.004362922,0.025217563,00:00.0,69841766.65,135369,10203.40032,36578851.52,0,0.004363416,0.005597642,0.002939603,0.001981847,0.00351614,0.481510315,0.669089859,0.833333333,0,0
1/27/2019,3565.62,3579,3486,0.004185088,0.029503527,00:00.0,80743416.85,163855,11568.5674,41100311.45,0,0.004362922,0.004042426,0.00296001,0.001862733,0.003232509,0.480527272,0.662263122,1,0,0
1/28/2019,3550.05,3557.75,3380.27,0.002745014,0.052740523,00:00.0,139258708.8,260799,20334.27174,70100390.82,0,0.004185088,0.003889644,0.002796277,0.001754872,0.010212472,0.473530361,0.613448127,0,0,0
1/29/2019,3434,3443.45,3349.92,0.002459813,0.038458409,00:00.0,100542807.5,189650,15626.31123,53180295.18,0,0.002745014,0.004433019,0.002514021,0.001593447,0.014156529,0.479932111,0.657710903,0.166666667,0,0
1/30/2019,3410.04,3478,3387.1,0.003041569,0.031124589,00:00.0,82521122.86,180820,13324.33963,45877250.06,0,0.002459813,0.004209523,0.002346952,0.001492381,0.014584785,0.484737869,0.692516045,0.333333333,0,1
1/31/2019,3457.5,3489.2,3418.8,0.002744397,0.038540288,00:00.0,101928347,198100,15325.82878,52764623.95,0,0.003041569,0.004416853,0.002107716,0.001342449,0.014330021,0.479865753,0.65731502,0.5,0,0
2/1/2019,3434.1,3488,3401.2,0.003089575,0.032823969,00:00.0,87075914.23,167520,13533.34463,46664199.95,0,0.002744397,0.004363416,0.0019255,0.001178703,0.012522021,0.483426461,0.682903996,0.666666667,0.090909091,1
2/2/2019,3462.2,3526.4,3440.29,0.003616537,0.023171638,00:00.0,62134037.98,153234,9637.41923,33417963.7,0,0.003089575,0.004362922,0.001818734,0.001070496,0.009978982,0.484434131,0.689998861,0.833333333,0.090909091,1
2/3/2019,3504.06,3511.09,3426,0.003040705,0.025731506,00:00.0,68801620.06,138592,10126.71614,35070884.46,0,0.003616537,0.004185088,0.001655036,0.000932599,0.006166127,0.47832107,0.646559637,1,0.090909091,0
2/4/2019,3458.11,3484.88,3433.31,0.003103768,0.030024806,00:00.0,80024258.23,155686,12387.10978,42856551.67,0,0.003040705,0.002745014,0.001706354,0.000805506,0.005988122,0.481862623,0.671611675,0,0.090909091,1
2/5/2019,3463.22,3478.97,3448.43,0.003207062,0.032829148,00:00.0,87491347.06,162066,13642.82308,47248405.24,0,0.003103768,0.002459813,0.001813244,0.0005924,0.004397436,0.482085638,0.673202333,0.166666667,0.090909091,1
2/6/2019,3471.57,3482.72,3380,0.002389839,0.046040316,00:00.0,120500703,207024,18054.00835,61609674.5,0,0.003207062,0.003041569,0.001720017,0.000356963,0.00643623,0.476982982,0.63680108,0.333333333,0.090909091,0
2/7/2019,3407,3426.45,3390,0.002303822,0.024151034,00:00.0,63611505.79,148209,9971.89096,33985909.98,0,0.002389839,0.002744397,0.001656996,0.00012704,0.007816003,0.481036238,0.665642173,0.5,0.090909091,0
2/8/2019,3398.4,3733.58,3373.1,0.005520387,0.062686477,00:00.0,170118212.5,277242,25500.97035,90453750.95,0,0.002303822,0.003089575,0.00200471,0,0.018149776,0.49934327,0.799010003,0.666666667,0.090909091,1
2/9/2019,3660.27,3680.02,3625.13,0.005596161,0.032165579,00:00.0,90488500.07,192209,13208.14275,48274378.26,0,0.005520387,0.003616537,0.002287884,3.28E-05,0.023353284,0.481933085,0.671951016,0.833333333,0.090909091,1
2/10/2019,3665.18,3684.99,3609.76,0.005779795,0.030180804,00:00.0,84696423.96,171099,12445.22055,45337811.06,0,0.005596161,0.003040705,0.002679696,6.53E-05,0.026571472,0.482530983,0.675985149,1,0.090909091,1
2/11/2019,3679.75,3684.9,3615.53,0.005174962,0.032421733,00:00.0,90731831.9,172626,12713.19167,46221559.64,0,0.005779795,0.003103768,0.002975969,8.51E-05,0.026592069,0.478160308,0.646552129,0,0.090909091,0
2/12/2019,3631.05,3667.6,3582.34,0.005180021,0.038372493,00:00.0,106766440,198996,14986.11963,54283275.97,0,0.005174962,0.003207062,0.00325819,0.000148932,0.025775547,0.481541099,0.66930011,0.166666667,0.090909091,1
2/13/2019,3631.51,3670,3591.75,0.004907778,0.033499295,00:00.0,93350740.95,167690,13552.84642,49100779.83,0,0.005180021,0.002389839,0.003618367,0.000142039,0.02009104,0.48000394,0.658819921,0.333333333,0.090909091,0
2/14/2019,3608.34,3626.4,3568.11,0.004675274,0.028211982,00:00.0,78367545.58,155215,11271.17502,40602592.46,0,0.004907778,0.002303822,0.00395759,0.000157526,0.006634342,0.480224219,0.660268047,0.5,0.090909091,0
2/15/2019,3590.57,3653.23,3573.45,0.004822255,0.026928943,00:00.0,74938358.18,151256,10840.3969,39106496.5,0,0.004675274,0.005520387,0.003857726,0.000161916,0.00683472,0.482327807,0.674727046,0.666666667,0.090909091,1
2/16/2019,3602.49,3648.2,3597.91,0.005018971,0.025335212,00:00.0,70894921.81,149393,10452.11973,37873280.57,0,0.004822255,0.005596161,0.003775162,0.000162825,0.006044151,0.482603497,0.676603218,0.833333333,0.090909091,1
2/17/2019,3617.22,3700.11,3604.4,0.005625779,0.03338913,00:00.0,93426433.13,179511,13004.16468,47317986.79,0,0.005018971,0.005779795,0.003753131,0.000192853,0.005224531,0.48487674,0.692124807,1,0.090909091,1
2/18/2019,3667.62,3925,3655,0.008476803,0.083826114,00:00.0,242898012.8,393515,33934.97317,128779026.7,0,0.005625779,0.005174962,0.004225441,0.000289204,0.022491502,0.497316984,0.775797059,0,0.090909091,1
2/19/2019,3897.35,3994.52,3856,0.008590217,0.065631113,00:00.0,197091641,332281,27008.59757,106038298.8,0,0.008476803,0.005180021,0.004713251,0.000441394,0.029403919,0.482141733,0.673101438,0.166666667,0.090909091,1
2/20/2019,3907.35,3986.98,3870.66,0.009354743,0.047217185,00:00.0,142571564.6,250176,19952.70098,78593009.22,0,0.008590217,0.004907778,0.005349365,0.000624282,0.034638482,0.485751012,0.695959616,0.333333333,0.090909091,1
2/21/2019,3969.74,4016.48,3901.03,0.008954524,0.040508575,00:00.0,122714273.9,209571,16678.73095,65816472.09,0,0.009354743,0.004675274,0.005961488,0.000775593,0.033793943,0.479294535,0.655272201,0.5,0.090909091,0
